SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SHOPERSTOP,EQ,2021-07-22,247.15,247.0,258.0,247.0,253.1,253.6,253.15,355294,899.42,8901,94442,26.58
SHRADHA,EQ,2021-07-22,53.55,57.0,57.0,54.15,55.5,55.05,55.02,1965,1.08,48,407,20.71
SHREDIGCEM,EQ,2021-07-22,93.95,95.25,96.8,94.0,94.9,94.65,95.14,1114769,1060.59,11081,502388,45.07
SHREECEM,EQ,2021-07-22,28082.9,28150.0,28226.25,27915.0,28066.0,28080.0,28091.87,22745,6389.5,9644,10261,45.11
SHREEPUSHK,EQ,2021-07-22,176.65,180.0,181.0,177.55,179.3,178.9,179.59,85614,153.76,3037,40254,47.02
SHREERAMA,EQ,2021-07-22,13.5,13.6,14.15,13.15,14.15,14.15,13.9,242251,33.67,666,206191,85.11
SHRENIK,EQ,2021-07-22,2.0,2.0,2.0,1.9,1.9,1.9,1.91,7921425,151.27,2898,4695863,59.28
SHREYANIND,EQ,2021-07-22,109.8,110.45,112.55,107.0,108.85,108.75,109.81,72151,79.23,2248,45688,63.32
SHREYAS,EQ,2021-07-22,200.6,205.0,210.6,205.0,210.6,210.6,209.75,89061,186.8,1041,70771,79.46
SHRIRAMCIT,EQ,2021-07-22,1718.95,1719.05,1817.6,1719.05,1782.5,1775.75,1784.95,63682,1136.69,7819,35415,55.61
SHRIRAMEPC,EQ,2021-07-22,5.3,5.4,5.45,5.05,5.05,5.05,5.15,1672553,86.12,1065,1241383,74.22
SHYAMCENT,EQ,2021-07-22,18.55,19.45,19.45,19.45,19.45,19.45,19.45,376774,73.28,808,373720,99.19
SHYAMMETL,EQ,2021-07-22,442.3,449.5,457.7,439.1,445.85,445.0,446.74,2861222,12782.11,49673,1123944,39.28
SICAL,EQ,2021-07-22,15.6,16.0,16.25,14.9,15.0,15.05,15.51,1145680,177.74,2513,654637,57.14
SIEMENS,EQ,2021-07-22,1944.35,1954.1,1986.95,1952.15,1984.0,1976.25,1965.82,460389,9050.42,13570,333638,72.47
SIGIND,EQ,2021-07-22,49.65,50.95,51.0,47.6,47.8,48.5,49.03,62549,30.67,851,41080,65.68
SILGO,EQ,2021-07-22,42.0,43.5,43.5,41.45,42.0,41.85,42.08,26001,10.94,284,20074,77.20
SILLYMONKS,EQ,2021-07-22,21.15,22.2,22.2,20.3,22.0,21.85,21.73,4546,0.99,61,2990,65.77
