MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,NG,IIFL,UNSE RE NCD 0% SR.III,      1015.00,      1012.05,      1012.05,      1010.00,      1010.00,                    20220.50,20, ,2,      1099.00,       981.01
N,NH,ECLFINANCE,SEC RED NCD SR. IV,      1248.85,      1248.85,      1248.85,      1248.85,      1248.85,                     1248.85,1, ,1,      1249.98,       822.10
N,NH,IFCI,9.90 % SRNCD SR VI,      1095.00,      1105.00,      1105.00,      1095.00,      1095.00,                   165280.00,150, ,4,      1247.00,       965.40
N,NH,TCFSL,SERENCD8.45%SR.ICIII&IV,      1084.50,      1084.50,      1084.51,      1082.50,      1082.56,                   476893.10,440, ,8,      1113.00,      1005.00
N,NI,ECLFINANCE,SEC RED NCD 9.65% SR. V,      1031.37,      1011.00,      1030.00,      1011.00,      1030.00,                    44271.00,43, ,3,      1065.10,       722.00
N,NI,IFCI,SRNCD SR VII,      1710.00,      1710.00,      1710.00,      1710.00,      1710.00,                     3420.00,2, ,1,      1900.00,      1610.00
N,NJ,ECLFINANCE,SEC RED NCD 9.43% SR. VI,       946.00,       946.00,       946.00,       946.00,       946.00,                   182578.00,193, ,10,       959.90,       728.05
N,NJ,INDIGRID,SEC RE NCD 8.20% SR.V,      1041.80,      1043.00,      1044.90,      1040.01,      1042.96,                  1677888.25,1609, ,29,      1044.90,      1000.00
N,NJ,IRFC,TAX FREE  7.53% SR. 103 A,      1268.00,      1265.00,      1265.00,      1265.00,      1265.00,                    56925.00,45, ,1,      1295.00,      1203.00
N,NK,ECLFINANCE,SEC RED NCD 9.85% SR. VII,       986.99,       985.00,       990.00,       982.00,       988.22,                  1573230.10,1593, ,27,      1018.40,       701.01
N,NK,IRFC,TAX FREE7.50% SR.104 A,      1345.00,      1349.00,      1355.00,      1349.00,      1355.00,                   438420.00,324, ,4,      1369.99,      1260.00
N,NK,L&TFINANCE,SE RE NCD 8.9% SR.I OP II,      1023.11,      1021.00,      1025.00,      1021.00,      1021.00,                    77730.00,76, ,4,      1142.00,      1005.00
N,NL,IFCI,9.40 % SRNCD TR II SR III,      1090.00,      1015.01,      1064.95,      1015.01,      1064.95,                    54262.51,51, ,3,      1150.00,       955.00
N,NL,INDIGRID,SEC RE NCD 7.97% SR.VI,      1041.99,      1047.99,      1047.99,      1038.00,      1042.00,                   662459.50,635, ,14,      1047.99,      1004.00
N,NL,TCFSL,SERENCD8.65%SR.IIICIII&IV,      1156.00,      1155.00,      1155.00,      1155.00,      1155.00,                    80850.00,70, ,4,      1326.00,       942.40
N,NM,ECLFINANCE,SEC RED NCD 10.20% SR. I,      1025.40,      1022.00,      1025.00,      1021.00,      1022.03,                  4704681.00,4601, ,54,      1181.00,       852.00
N,NM,IFCI,SRNCD TR II SR IV,      1850.00,      1680.00,      1680.00,      1680.00,      1680.00,                     5040.00,3, ,1,      1850.00,      1500.00
N,NN,ECLFINANCE,SEC RED NCD SR. II,      1270.00,      1243.00,      1244.00,      1243.00,      1243.25,                    62160.00,50, ,4,      1398.00,       850.10
N,NN,IRFC,TAX FREE  7.29% SR. 107A,      1189.80,      1152.51,      1160.00,      1152.51,      1160.00,                   137897.69,119, ,2,      1222.00,      1086.00
N,NN,SREIBNPNCD,SRNCD SR VII B,       690.00,       570.00,       580.00,       552.01,       570.20,                    27883.10,49, ,10,      1301.00,       344.42
N,NO,ECLFINANCE,SEC RED NCD 9.95% SR. III,       980.01,       994.00,       996.00,       994.00,       994.20,                   567889.10,571, ,19,      1000.00,       792.00
N,NO,IRFC,TAX FREE  7.64% SR. 108A,      1275.00,      1273.50,      1274.00,      1271.40,      1271.52,                  1018696.90,801, ,11,      1314.00,      1218.10
N,NO,L&TFINANCE,SERENCD 9.0% SR.III OPII,      1070.00,      1069.00,      1075.00,      1069.00,      1075.00,                    38629.00,36, ,4,      1337.84,      1010.50
N,NO,SREIBNPNCD,UNS RED NCD 9.25% SR. I,       395.00,       385.00,       395.00,       385.00,       395.00,                    19550.00,50, ,4,       949.99,       271.10
N,NP,DHFL,SEC RED NCD 9.25% SR. 3B,       360.00,       364.00,       364.80,       360.01,       360.01,                    87344.10,240, ,4,       405.00,       205.30
